Year,Total NHE per capita,Constant 2021 dollars
1970,352.89,1951.28
1971,388.81,2062.31
1972,431.99,2215.74
1973,475.56,2314.60
1974,533.99,2353.92
1975,603.26,2454.67
1976,684.90,2641.94
1977,770.60,2790.97
1978,857.71,2904.38
1979,962.45,2993.14
1980,1099.14,3085.93
1981,1262.11,3252.11
1982,1409.19,3440.05
1983,1538.64,3602.80
1984,1678.95,3788.28
1985,1820.13,3968.35
1986,1935.61,4130.28
1987,2088.46,4323.16
1988,2318.58,4618.99
1989,2557.49,4881.77
1990,2835.11,5184.12
1991,3067.55,5427.65
1992,3290.89,5671.63
1993,3495.56,5877.96
1994,3653.28,6017.61
1995,3816.31,6156.52
1996,3973.14,6275.32
1997,4148.59,6440.35
1998,4342.03,6687.43
1999,4564.16,6928.60
2000,4845.00,7173.50
2001,5213.05,7566.73
2002,5680.04,8137.72
2003,6113.90,8579.06
2004,6482.90,8876.52
2005,6871.89,9145.61
2006,7269.97,9410.41
2007,7667.05,9676.10
2008,7910.86,9696.83
2009,8136.13,10000.85
2010,8381.11,10120.73
2011,8599.13,10127.78
2012,8876.84,10263.46
2013,9048.09,10321.70
2014,9440.07,10608.45
2015,9878.98,11077.03
2016,10247.00,11375.76
2017,10610.87,11568.10
2018,11040.07,11784.50
2019,11455.96,12048.65
2020,12590.93,13098.02
2021,12914.09,12914.09
