Year,Total OOP NHE per capita,Constant 2020 dollars,Premium Per Capita,Actual Spending
1970,115.2213232,612.8881717,,352.89
1971,119.9576869,612.087977,,388.81
1972,129.4459963,638.7024637,,431.99
1973,141.9722864,664.7107069,,475.56
1974,152.7326914,647.6683672,,533.99
1975,163.8744884,641.4548644,,603.26
1976,177.1009919,657.171476,,684.9
1977,192.8341529,671.8660105,,770.6
1978,203.9105403,664.2246257,,857.71
1979,218.9868421,655.1404463,,962.45
1980,239.8350694,647.7503666,,1099.14
1981,266.2596733,659.9971509,,1262.11
1982,291.8162484,685.2872966,,1409.19
1983,314.6228403,708.6946699,,1538.64
1984,344.408692,747.5529686,,1678.95
1985,379.1552795,795.2244152,,1820.13
1986,408.757178,839.0671993,,1935.61
1987,430.0853312,856.4361464,,2088.46
1988,467.9388084,896.7658079,,2318.58
1989,488.6329215,897.2494996,,2557.49
1990,527.6015779,928.0651184,1090.43,2835.11
1991,533.3034321,907.7461816,1297.81,3067.55
1992,536,888.6460864,1436.02,3290.89
1993,534.0609524,863.9129909,1566.98,3495.56
1994,521.0897436,825.697815,1727.01,3653.28
1995,525.3154162,815.2280164,1908.16,3816.31
1996,539.5048041,819.715068,1833.76,3973.14
1997,570.5265082,852.020877,1956.88,4148.59
1998,618.5378212,916.4362484,2090.61,4342.03
1999,647.8144034,946.0264301,2152.91,4564.16
2000,686.3284853,977.5500804,2332.78,4845
2001,705.5200281,985.1293704,2559.13,5213.05
2002,762.7089136,1051.179635,2840.02,5680.04
2003,811.6401934,1095.593103,3212.39,6113.9
2004,849.8836413,1119.433322,3406.27,6482.9
2005,896.6327569,1147.934739,3496.22,6871.89
2006,933.1766286,1162.004551,3826.3,7269.97
2007,976.0824742,1185.02383,4169.8,7667.05
2008,987.5041159,1164.433027,4424.72,7910.86
2009,967.7088773,1144.281643,4576.57,8136.13
2010,975.1003236,1132.730357,4825.49,8381.11
2011,996.1825193,1128.658457,5005.46,8599.13
2012,1030.366826,1146.025502,5145.99,8876.84
2013,1046.966434,1148.931879,5607.27,9048.09
2014,1070.119497,1156.842371,6372.05,9440.07
2015,1101.145086,1187.738684,6712.64,9878.98
2016,1132.61772,1209.580654,7044.81,10247
2017,1147.068966,1203.031991,7375.85,10610.87
2018,1183.877489,1215.649972,7632.64,11040.07
2019,1230.740854,1245.329883,7823.58,11455.96
2020,1180.935886,1180.935886,,12590.93
